number	name	district	party	votes	got_mandate
101	VERONIKA ISBERG	1	Rahva Ühtsuse Erakond	55	False	
102	VADIM ŠAPTŠENKO	1	Rahva Ühtsuse Erakond	20	False	
103	AIMAR JUKKUM	1	Rahva Ühtsuse Erakond	14	False	
137	URMAS ESPENBERG	1	Eesti Konservatiivne Rahvaerakond	2087	False	
138	NELE VALGEPEA	1	Eesti Konservatiivne Rahvaerakond	281	False	
147	MARET JÕGI	1	Eesti Konservatiivne Rahvaerakond	130	False	
141	RIHO RAUSMA	1	Eesti Konservatiivne Rahvaerakond	116	False	
143	ANNIKA SOOTS	1	Eesti Konservatiivne Rahvaerakond	101	False	
139	TAIVO PÕRK	1	Eesti Konservatiivne Rahvaerakond	83	False	
146	REIN PIKA	1	Eesti Konservatiivne Rahvaerakond	57	False	
145	URMAS SIEMER	1	Eesti Konservatiivne Rahvaerakond	47	False	
140	NIKOLAI JAKOBIŠVILI	1	Eesti Konservatiivne Rahvaerakond	28	False	
142	MARIKA ISTAHL	1	Eesti Konservatiivne Rahvaerakond	28	False	
144	ALEKSANDER TŠERNIKOV	1	Eesti Konservatiivne Rahvaerakond	28	False	
262	KRISTEN MICHAL	1	Eesti Reformierakond	4766	True	
263	HEIDY PURGA	1	Eesti Reformierakond	3283	True	
265	VILJA SAVISAAR-TOOMAST	1	Eesti Reformierakond	2395	False	
264	REMO HOLSMER	1	Eesti Reformierakond	1385	False	
266	TIINA LOKK-TRAMBERG	1	Eesti Reformierakond	977	False	
267	ANTS LEEMETS	1	Eesti Reformierakond	570	False	
271	ANDRES ARO	1	Eesti Reformierakond	206	False	
270	LIINA HERMAKÜLA	1	Eesti Reformierakond	184	False	
269	KARIN PÄRTEL	1	Eesti Reformierakond	150	False	
268	TATJANA MURAVJOVA	1	Eesti Reformierakond	144	False	
272	GEROL SILKIN	1	Eesti Reformierakond	89	False	
387	KEN-MARTI VAHER	1	Erakond Isamaa ja Res Publica Liit	2313	True	
388	LIISA-LY PAKOSTA	1	Erakond Isamaa ja Res Publica Liit	1808	False	
389	TARMO KRUUSIMÄE	1	Erakond Isamaa ja Res Publica Liit	1260	False	
395	TIIT MEREN	1	Erakond Isamaa ja Res Publica Liit	292	False	
391	DIANA INGERAINEN	1	Erakond Isamaa ja Res Publica Liit	288	False	
390	MAKSIM ROGALSKI	1	Erakond Isamaa ja Res Publica Liit	278	False	
394	AVO ÜPRUS	1	Erakond Isamaa ja Res Publica Liit	247	False	
393	TIIA SIHVER	1	Erakond Isamaa ja Res Publica Liit	233	False	
397	TIIT RIISALO	1	Erakond Isamaa ja Res Publica Liit	229	False	
392	IMRE RAMMUL	1	Erakond Isamaa ja Res Publica Liit	158	False	
396	HENRIK AAVIK	1	Erakond Isamaa ja Res Publica Liit	87	False	
512	OLEV-ANDRES TINN	1	Erakond Eestimaa Rohelised	247	False	
514	EERO UUSTALU	1	Erakond Eestimaa Rohelised	85	False	
517	MIHKEL VESKIMÄGI	1	Erakond Eestimaa Rohelised	69	False	
516	PIRET KÄIGE	1	Erakond Eestimaa Rohelised	62	False	
515	RAIVO JUURAK	1	Erakond Eestimaa Rohelised	39	False	
513	ANDREI GUDIM	1	Erakond Eestimaa Rohelised	37	False	
552	VICTOR POLYAKOFF	1	Eestimaa Ühendatud Vasakpartei	16	False	
555	JEKATERINA KRAVTSOVA	1	Eestimaa Ühendatud Vasakpartei	11	False	
553	DIANA VINOGRADOVA	1	Eestimaa Ühendatud Vasakpartei	9	False	
554	ADA LEIST	1	Eestimaa Ühendatud Vasakpartei	3	False	
577	NEEME KUNINGAS	1	Eesti Vabaerakond	2432	False	
578	KÜLLIKI KÜBARSEPP	1	Eesti Vabaerakond	1032	True	
579	ANTS MILLER	1	Eesti Vabaerakond	227	False	
581	TÕNU TEEVEER	1	Eesti Vabaerakond	210	False	
580	LII RAMJALG	1	Eesti Vabaerakond	192	False	
583	GEORG KIRSBERG	1	Eesti Vabaerakond	179	False	
586	KUIDO MERITS	1	Eesti Vabaerakond	87	False	
582	IVIKA PUUST	1	Eesti Vabaerakond	70	False	
587	JAANUS PAASOJA	1	Eesti Vabaerakond	59	False	
584	PEETER KÕLUVERE	1	Eesti Vabaerakond	50	False	
585	MAGOMED MURTUZALIEV	1	Eesti Vabaerakond	19	False	
702	MIHHAIL KÕLVART	1	Eesti Keskerakond	10996	True	
703	VIKTOR VASSILJEV	1	Eesti Keskerakond	1862	True	
712	MÄRT SULTS	1	Eesti Keskerakond	1285	True	
707	ANDREI NOVIKOV	1	Eesti Keskerakond	1096	False	
706	KARIN TAMMEMÄGI	1	Eesti Keskerakond	881	False	
708	MAREK JÜRGENSON	1	Eesti Keskerakond	687	False	
704	KALEV KALLO	1	Eesti Keskerakond	575	True	
711	ANTON STALNUHHIN	1	Eesti Keskerakond	491	False	
705	LAURI LAASI	1	Eesti Keskerakond	407	True	
710	ENNO TAMM	1	Eesti Keskerakond	346	False	
709	IRINA ANTONJUK	1	Eesti Keskerakond	290	False	
827	EIKI NESTOR	1	Sotsiaaldemokraatlik Erakond	3744	True	
829	ALEKSEI TUROVSKI	1	Sotsiaaldemokraatlik Erakond	1787	False	
828	MARIANNE MIKKO	1	Sotsiaaldemokraatlik Erakond	859	False	
